row ID,row m/z,row retention time,X072067ALC.dataCompass.mzXML Peak area,X072069ALC.dataCompass.mzXML Peak area,X072068ALC.dataCompass.mzXML Peak area,
118,187.14828491210938,10.372533333333333,0,1274093.7015000023,0,
119,426.248779296875,11.678733333333334,0,1420256.4710000048,0,
120,585.5327758789062,16.2998,0,1172613.5280000197,2090329.3185000261,
121,459.23486328125,13.026383333333333,0,1002238.4704999985,0,
122,461.25099182128906,13.503250000000001,0,1246115.542499992,0,
123,318.3005599975586,9.960925,0,1102830.1975000014,766280.8719999974,
124,278.24549865722656,15.994316666666666,0,1186410.679000001,1348532.8790000135,
125,623.4066772460938,16.07405,0,804961.3519999959,0,
126,359.2218933105469,14.623,0,1312498.8639999996,0,
127,301.21471405029297,15.434650000000001,0,1288390.0729999903,885179.7975000042,
128,853.471435546875,11.968916666666667,0,1059580.7785000012,0,
129,377.2325744628906,14.623,0,1284533.122,0,
130,489.3571472167969,12.197049999999999,0,1420358.4849999985,0,
131,453.3362731933594,13.66915,0,1135934.3130000087,0,
132,651.3778076171875,17.484016666666665,0,1089387.9744999728,0,
133,395.2428283691406,10.372533333333333,0,978100.8895000046,0,
134,863.4916381835938,13.005650000000001,0,996956.0530000018,0,
135,451.3207702636719,10.7044,0,972760.6820000057,0,
136,247.2416229248047,16.302116666666667,0,1342476.8740000112,0,
137,293.1744689941406,13.5862,0,1214306.0354999984,0,
138,415.20924377441406,12.093333333333334,0,1146101.144500001,0,
139,487.3415832519531,12.71535,0,1083617.533000006,0,
140,375.2162780761719,12.28,0,1079712.7559999947,0,
141,276.2297821044922,14.750333333333334,0,1141057.1610000045,982991.0665000101,
142,351.21661376953125,9.191849999999999,0,986939.6634999947,0,
143,419.24053955078125,11.056683333333332,0,973539.878,0,
144,370.2770690917969,17.276616666666666,0,764689.8444999983,0,
145,263.23712158203125,15.268725,0,1109373.1845000028,1445899.3259999987,
146,516.477783203125,16.675166666666666,0,1006790.4105000002,0,
147,811.46044921875,10.372533333333333,0,819120.2475000058,0,
148,408.3081970214844,16.841266666666666,0,712772.1784999892,0,
149,333.2039031982422,10.517833333333334,0,926444.1674999992,0,
150,193.08570861816406,13.648416666666666,0,1084014.0120000013,0,
